german,english1,english2
Ich glaube wir gehen dann mal besser .,I guess we 'd better get going .,I think we 'd better go .
Ich bedanke mich .,I thank you .,Thank you .
Ich gehe einkaufen .,I am going shopping .,I 'm going shopping .
"Es ist das erste Mal , dass ich auf mein Auto fluche .",This is the first time I 've ever sworn at my car .,It 's the first time I 've cursed my car .
"Er wurde von dem Kugelfisch vergiftet , den er aß .",He was poisoned by the globefish he ate .,He was poisoned by the ball fish he ate .
Ich habe die beste Mutter der Welt !,I have the best mom in the world !,I have the best mother in the world !
Ich habe morgen nichts vor . Ich werde es ruhig angehen lassen .,I don 't have any plans for tomorrow . I 'm going to take it easy .,"I 'm not gonna do anything tomorrow , I 'm gonna take it easy ."
Man muss auf Holz klopfen .,Touch wood !,You have to knock on wood .
Trinkst du gerne Kamillentee ?,Do you like chamomile tea ?,Do you like to drink chamomile tea ?
Es ist sehr heiß heute .,It is very hot today .,It 's very hot today .
Vielleicht ist er Italiener oder Spanier .,Maybe he is Italian or Spanish .,Maybe he 's Italian or Spanish .
"Tom zog eine Schar Kinder an , als er anfing , auf seinen Bongotrommeln zu spielen .",Tom attracted a crowd of children as soon as he started playing his bongos .,Tom put on a group of children when he started playing on his bonus drums .
Wo ist das neue Mädchen ?,Where 's the new girl ?,Where 's the new girl ?
Ich bin Charlie .,I am Charlie .,I 'm Charlie .
Pandas sind niedlich .,Pandas are cute .,Pandas are cute .
"Es schien , als ob er knapp bei Kasse wäre .",It seemed that he was short of money .,It seemed like he was close to the cash register .
O nein ! Ich habe mir versehentlich den Finger abgesägt ! Was soll ich tun ?,"Oh no , I accidentally sawed off my finger ! What should I do ?","No , I accidentally sown my finger , what am I supposed to do ?"
Ich hielt dich für meine beste Freundin .,I thought that you were my best friend .,I thought you were my best friend .
"Tom macht das doch richtig , oder ?","Tom is doing that the right way , isn 't he ?","Tom 's doing it right , isn 't he ?"
Weder ich noch meine Schwester haben diesen neuen Roman gelesen .,"I haven 't read this new novel , and my sister hasn 't either .",Neither I nor my sister have read this new novel .
Tom trug keine Schuhe .,Tom didn 't have any shoes on .,Tom didn 't wear shoes .
Du würdest Tom lieben .,You 'd love Tom .,You 'd love Tom .
Tom sprach zuerst .,Tom spoke first .,Tom spoke first .
Hast du keinen Freund ?,Don 't you have a boyfriend ?,Don 't you have a boyfriend ?
In seinem Testament vermachte er seiner Frau ein Vermögen .,"In his will , he left a fortune to his wife .","In his will , he gave his wife a fortune ."
"Ich wünschte , ich hätte auf deine Warnungen gehört .",I wish I had listened to your warnings .,I wish I had listened to your warnings .
Sie ging mit ihm ins Kino .,She went with him to the movies .,She went to the movies with him .
Die Ärzte betrachten ein Röntgenfoto .,The doctors are looking at an x @-@ ray .,The doctors are looking at an X @-@ ray .
Du hast alles genommen .,You 've taken everything .,You took everything .
"Was schadet ' s , es zu tun ?",What is the harm in doing that ?,What 's the harm in doing it ?
Ihr müsst Französisch lernen .,You need to learn French .,You have to learn French .
Ich brauche Fußcreme .,I need foot lotion .,I need some foot cream .
"Ich fürchte , wir sind spät .",I fear that we are late .,I 'm afraid we 're late .
